"cell_id","study","method","R","n_est","IE_mean","bias","bias_se","RMSE","cover95","cover_se","width","rej0","rej0_se","DE_bias","DE_cover95","DE_width","AUPRC","AUPRC_se","F1","balrec","balrec_se","ess_ie","fit_cpu","ess_per_sec","mix_rate","n_rep","R_target","complete"
"04_main_n200_d50_scI_b0_eta0.2_a3_dm0_gibbs","main","regDOC",200,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.390816317812933,0.0122161871271491,0.214285714285714,NA,NA,NA,NA,NA,NA,200,200,TRUE
"05_main_n200_d50_scII_b0_eta0.2_a3_dm0_gibbs","main","BalMed",200,200,0.00902846082513063,0.00902846082513063,0.00179046387317254,0.0268227425931239,0.795,0.0286176492613602,0.0695909099722661,0.205,0.0286176492613602,0.0014052949392668,0.825,0.125645257867112,0.864346482838036,0.00580222664456291,0.799602986298187,0.908477406583643,0.00582800949432897,9781.28561663462,4536.830765,2.15723113505809,0.30496425,200,200,TRUE
"05_main_n200_d50_scII_b0_eta0.2_a3_dm0_gibbs","main","Oracle",200,200,0.0229387922563485,0.0229387922563485,0.00157771687460967,0.0319614941285464,0.83,0.0266279031493404,0.0859917836203382,0.17,0.0266279031493404,-0.050760030742823,0.755,0.159995655195679,NA,NA,NA,NA,NA,NA,NA,NA,NA,200,200,TRUE
"05_main_n200_d50_scII_b0_eta0.2_a3_dm0_gibbs","main","PrinBal",200,200,0.00248411965266305,0.00248411965266305,0.00140417881169546,0.0199635357428595,NA,NA,NA,NA,NA,-0.330012204908781,NA,NA,0.145650506708202,0.00618566588953976,NA,NA,NA,NA,NA,NA,NA,200,200,TRUE
"05_main_n200_d50_scII_b0_eta0.2_a3_dm0_gibbs","main","regDOC",200,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.380475639299504,0.0113135319637542,0.214285714285714,NA,NA,NA,NA,NA,NA,200,200,TRUE
"06_main_n200_d50_scI_b2_eta0.2_a3_dm0_gibbs","main","BalMed",200,200,0.682295799782637,0.0156291331159699,0.00546030515322078,0.0785967005850011,0.81,0.0278094738204601,0.209440654005955,1,0,0.00495776960535512,0.855,0.125174172485545,0.993225327933569,0.00230852687235881,0.921482233452822,0.946915265752759,0.00503025452859516,8575.55576223989,4590.30348,1.86923630163667,0.32490275,200,200,TRUE
"06_main_n200_d50_scI_b2_eta0.2_a3_dm0_gibbs","main","Oracle",200,200,0.66591390114662,-0.00075276552004672,0.00516467245563058,0.0728605594896448,0.93,0.0180868924470723,0.27928508994688,1,0,-0.00110895104779966,0.96,0.160284515654339,NA,NA,NA,NA,NA,NA,NA,NA,NA,200,200,TRUE
"06_main_n200_d50_scI_b2_eta0.2_a3_dm0_gibbs","main","PrinBal",200,200,0.0161337834942694,-0.650532883172397,0.0104802540116271,0.667120934459479,NA,NA,NA,NA,NA,-0.329805151900569,NA,NA,0.145650506708202,0.00618566588953976,NA,NA,NA,NA,NA,NA,NA,200,200,TRUE
"06_main_n200_d50_scI_b2_eta0.2_a3_dm0_gibbs","main","regDOC",200,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.389563615917042,0.0122077092088275,0.214285714285714,NA,NA,NA,NA,NA,NA,200,200,TRUE
"07_main_n200_d50_scII_b2_eta0.2_a3_dm0_gibbs","main","BalMed",200,200,0.701368749032637,0.0347020823659706,0.00599521873040486,0.091415651821713,0.78,0.0293651418826633,0.224422897285578,1,0,-8.04659761819713e-05,0.84,0.131140289653012,0.865457516652614,0.00589898835896621,0.798486894279349,0.909945084410697,0.00576562576506758,8652.16592617477,4605.807105,1.88272067932533,0.30724525,200,200,TRUE
"07_main_n200_d50_scII_b2_eta0.2_a3_dm0_gibbs","main","Oracle",200,200,0.632286966368024,-0.034379700298643,0.0052470822158114,0.0816137627899969,0.92,0.019231465004808,0.295219196518774,1,0,-0.050760030742823,0.755,0.159995655195679,NA,NA,NA,NA,NA,NA,NA,NA,NA,200,200,TRUE
"07_main_n200_d50_scII_b2_eta0.2_a3_dm0_gibbs","main","PrinBal",200,200,0.0155495751082495,-0.651117091558417,0.00971671624540907,0.665388583658946,NA,NA,NA,NA,NA,-0.330012204908781,NA,NA,0.145650506708202,0.00618566588953976,NA,NA,NA,NA,NA,NA,NA,200,200,TRUE
"07_main_n200_d50_scII_b2_eta0.2_a3_dm0_gibbs","main","regDOC",200,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.379359872246818,0.0112010914366241,0.214285714285714,NA,NA,NA,NA,NA,NA,200,200,TRUE
"08_S0_n100_d50_scIII_b0_eta0.2_a3_dm0_gibbs","S0","BalMed",200,200,-0.0390354313977656,-0.0390354313977656,0.00355292062294063,0.0635278730168114,0.665,0.0334585170294358,0.136403503205974,0.335,0.0334585170294358,0.10279169574505,0.505,0.240191189566283,0.863865780219836,0.00885707954318643,0.579591756920953,0.765297445860573,0.00564662925213646,5089.46551243769,4255.313235,1.19776908175201,0.83660775,200,200,TRUE
"09_S0_n200_d50_scIII_b0_eta0.2_a3_dm0_gibbs","S0","BalMed",200,200,-0.000666858233964759,-0.000666858233964759,0.00166191829879941,0.02345372494614,0.865,0.024224141785131,0.0686499644943704,0.135,0.024224141785131,0.00347364534082817,0.825,0.119532023862522,0.995741366578314,0.00161436115692305,0.934234593335502,0.958806509745544,0.00460360374530929,9686.74552928535,4611.78018,2.10191493134543,0.26501375,200,200,TRUE
"10_S0_n100_d50_scIII_b2_eta0.2_a3_dm0_gibbs","S0","BalMed",200,200,0.801760650565209,0.135093983898543,0.0102881767273843,0.198277214979392,0.615,0.034493827282617,0.427299643287199,0.98,0.0099243368701167,0.0719362785469097,0.71,0.275871997517404,0.866351190689532,0.00903080576270421,0.587292692910558,0.768919353970742,0.00578152674391232,3565.47339479406,4503.86341,0.825519619018337,0.87247425,200,200,TRUE
"11_S0_n200_d50_scIII_b2_eta0.2_a3_dm0_gibbs","S0","BalMed",200,200,0.680607198458353,0.0139405317916865,0.00513884270727798,0.0738205364129366,0.84,0.0259880142454577,0.209148418192261,1,0,0.00224746496092199,0.85,0.125175374365149,0.997079619936553,0.00113040358647231,0.937530852288108,0.959956678702751,0.00447173537242785,8213.91202437082,5385.27775,1.65023947219805,0.279628,200,200,TRUE
"12_S0_n100_d50_scIII_b0_eta0.2_a3_dm1_gibbs","S0","BalMed",200,200,0.132689030724221,0.132689030724221,0.0104911057199601,0.198768647982477,0.325,0.0332022127978448,0.391051866848279,0.675,0.0332022127978448,-0.0201774362115547,0.77,0.364011989799989,0.499387437124736,0.0133106592521987,0.383059619429446,0.55476555525982,0.0099219233035504,4300.39537452631,4139.597195,1.0416274363136,0.9755645,200,200,TRUE
"13_S0_n200_d50_scIII_b0_eta0.2_a3_dm1_gibbs","S0","BalMed",200,200,0.177430368462468,0.177430368462468,0.00452614811470536,0.188568960826592,0.125,0.0234440422192481,0.172788935301825,0.875,0.0234440422192481,-0.119491097265927,0.36,0.191260040880055,0.844127800986958,0.0087744414873264,0.549283460254691,0.695858705836001,0.0059732274902689,6660.89363117555,5036.278875,1.37563873660131,0.9766625,200,200,TRUE
"14_S0_n100_d50_scIII_b2_eta0.2_a3_dm1_gibbs","S0","BalMed",200,200,0.951709328495953,0.285042661829286,0.0486182438096164,0.742719537684215,0.51,0.0354369707293437,1.866676801095,0.58,0.0349874349304872,-0.0739630320347575,0.77,0.401479629715455,0.511144998504478,0.0134345459724582,0.391103716757884,0.57098290790528,0.00875100865232913,4041.25157412659,4134.52501,0.977827236148242,0.97813275,200,200,TRUE
"15_S0_n200_d50_scIII_b2_eta0.2_a3_dm1_gibbs","S0","BalMed",200,200,0.947541160457866,0.280874493791199,0.0204945087377963,0.403082415958301,0.27,0.0314714515284334,0.726187950525664,0.86,0.0245972584982177,-0.130845809182601,0.325,0.19810878840501,0.845447618574912,0.00871222048908595,0.553280430695505,0.698958714473131,0.00610003067238081,6355.62402421686,4581.692325,1.38822897389553,0.978651,200,200,TRUE
"16_S0_n100_d50_scIII_b0_eta0.2_a3_dm2_gibbs","S0","BalMed",200,200,0.0666709887754297,0.0666709887754297,0.0337818452093404,0.481192706540854,0.525,0.0353997274497642,0.992361183602767,0.475,0.0353997274497642,-0.040326097373651,0.815,0.425795506591808,0.268616021290508,0.0103145895110359,0.255825600891275,0.334245592643971,0.0115916888900369,2935.49864209204,4187.78665,0.702485434584105,0.9909585,200,200,TRUE
"17_S0_n200_d50_scIII_b0_eta0.2_a3_dm2_gibbs","S0","BalMed",200,200,0.171127515071635,0.171127515071635,0.0214090211385484,0.347124642528652,0.51,0.0354369707293437,0.643346750011043,0.49,0.0354369707293437,-0.170449841101334,0.26,0.244371081844641,0.452973480550582,0.0129331261553422,0.362408604026151,0.481156041893723,0.0100536807913597,5223.95658478677,4546.37943,1.15048797441867,0.99934475,200,200,TRUE
"18_S0_n100_d50_scIII_b2_eta0.2_a3_dm2_gibbs","S0","BalMed",200,200,0.45395956144497,-0.212707105221697,0.112645287096103,1.60323033058246,0.755,0.0304880732921142,4.40184597034927,0.255,0.0308973824329187,-0.143874021452434,0.74,0.480434390977135,0.291739611333025,0.0107835894637362,0.267726247578501,0.361478353085919,0.0106455319615539,4451.39287059746,5375.733305,0.917054292688315,0.99230875,200,200,TRUE
"19_S0_n200_d50_scIII_b2_eta0.2_a3_dm2_gibbs","S0","BalMed",200,200,0.652063126716954,-0.0146035399497126,0.0732280131745916,1.03311146744444,0.625,0.0343185637679591,2.49071033019653,0.415,0.0349281387189735,-0.198944791674641,0.15,0.255821504118623,0.46380509091479,0.0126993905238456,0.37094287983253,0.496214305636704,0.00957085050928004,5916.23382984743,4546.055875,1.30403299466784,0.9993775,200,200,TRUE
"20_S1_n100_d50_scI_b0_eta0.333_a3_dm0_gibbs","S1","BalMed",200,200,-0.0303878088086441,-0.0303878088086441,0.00345734965591564,0.0574640669131541,0.78,0.0293651418826633,0.153755019336817,0.22,0.0293651418826633,0.108377514334839,0.48,0.269209164074245,0.790480148169721,0.0108037620377726,0.380312003976233,0.696981689546708,0.00425646989105973,4001.19362681785,4948.36003,0.877064044138133,0.95743125,200,200,TRUE
"21_S1_n100_d50_scI_b2_eta0.333_a3_dm0_gibbs","S1","BalMed",200,200,0.840903254963179,0.174236588296513,0.0136684215374022,0.259878264613854,0.54,0.0353304572009782,0.583396858722056,0.92,0.019231465004808,0.0675508423221409,0.695,0.314569687034161,0.796626828206648,0.0105886898691167,0.376082661787248,0.690573390501967,0.00433178654407425,3440.85554199303,4201.75113,0.820686350387222,0.972585,200,200,TRUE
"22_S1_n100_d50_scI_b0_eta0.2_a3_dm0_gibbs","S1","BalMed",200,200,-0.0356831743868625,-0.0356831743868625,0.00318989626675734,0.0574299672180392,0.73,0.0314714515284334,0.133868282359874,0.27,0.0314714515284334,0.104641682955205,0.485,0.234334708011698,0.845165056714231,0.0101385673905784,0.562614011018159,0.760388221198763,0.00569396930473242,4989.28151760259,4140.66659,1.20620975054457,0.851238,200,200,TRUE
"23_S1_n100_d50_scI_b2_eta0.2_a3_dm0_gibbs","S1","BalMed",200,200,0.799092115236433,0.132425448569766,0.0119095683821055,0.213921072873771,0.585,0.0349281387189735,0.44992335561106,0.965,0.0130278017366881,0.0746231747164491,0.7,0.274990073160297,0.846894589577707,0.0103175749126824,0.566887595002891,0.761250301953635,0.00566461914828705,2927.22122407834,4147.148565,0.707030184127515,0.88203775,200,200,TRUE
"24_S1_n100_d50_scI_b0_eta0.05_a3_dm0_gibbs","S1","BalMed",200,200,-0.0179986206744939,-0.0179986206744939,0.00292906420660545,0.0450694392503539,0.79,0.0288733153916994,0.115976391171713,0.21,0.0288733153916994,0.0537515515152882,0.765,0.204697432877126,0.900569445674737,0.00816913229397816,0.779731791441833,0.856986793592331,0.00620764438247249,6625.35178528962,4150.50056,1.59748091131455,0.624396,200,200,TRUE
